SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ABSLFTQYRQ,Aditya Birla Sun Life MF - ASBL FTP Series QY (1100 days) RP-QDP,MF,05-SEP-2018,10,1,INF209KB1VS8,10
ABSLFTRADG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-DPG,MF,19-SEP-2018,10,1,INF209KB1WF3,10
ABSLFTRADN,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-DPNDP,MF,19-SEP-2018,10,1,INF209KB1WG1,10
ABSLFTRADQ,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP- DPQDP,MF,19-SEP-2018,10,1,INF209KB1WH9,10
ABSLFTRARG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPG,MF,19-SEP-2018,10,1,INF209KB1WC0,10
ABSLFTRARN,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPNDP,MF,19-SEP-2018,10,1,INF209KB1WD8,10
ABSLFTRARQ,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPQDP,MF,19-SEP-2018,10,1,INF209KB1WE6,10
ABSLFTRCDG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-DPG,MF,26-SEP-2018,10,1,INF209KB1WR8,10
ABSLFTRCDN,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-DPNDP,MF,26-SEP-2018,10,1,INF209KB1WS6,10
ABSLFTRCDQ,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-DPQDP,MF,26-SEP-2018,10,1,INF209KB1WT4,10
ABSLFTRCRG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPG,MF,26-SEP-2018,10,1,INF209KB1WO5,10
ABSLFTRCRN,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPNDP,MF,26-SEP-2018,10,1,INF209KB1WP2,10
ABSLFTRCRQ,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPQDP,MF,26-SEP-2018,10,1,INF209KB1WQ0,10
ABSLFTRDDG,Aditya Birla Sun Life MF-ABSL FTP - Sr.RD (1293 D) - DP-G,MF,01-OCT-2018,10,1,INF209KB1WX6,10
ABSLFTRDDN,Aditya Birla Sun Life MF-ABSL FTP - Sr.RD (1293 D) - DP-NDP,MF,01-OCT-2018,10,1,INF209KB1WY4,10
ABSLFTRDRG,Aditya Birla Sun Life MF-ABSL FTP - Sr.RD (1293 D) - RP-G,MF,01-OCT-2018,10,1,INF209KB1WU2,10
ABSLFTRDRN,Aditya Birla Sun Life MF-ABSL FTP - Sr.RD (1293 D) - RP-NDP,MF,01-OCT-2018,10,1,INF209KB1WV0,10
ABSLFTRDRQ,Aditya Birla Sun Life MF-ABSL FTP - Sr.RD (1293 D) -RP-QDP,MF,01-OCT-2018,10,1,INF209KB1WW8,10
ABSLFTREDG,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr.RE 1100 day-DPG,MF,04-OCT-2018,10,1,INF209KB1XD6,10
ABSLFTREDN,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr.RE 1100 day-DPNDP,MF,04-OCT-2018,10,1,INF209KB1XE4,10
ABSLFTREDQ,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr.RE 1100 day-DPQDP,MF,04-OCT-2018,10,1,INF209KB1XF1,10
ABSLFTRERG,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr.RE 1100 day-RPG,MF,04-OCT-2018,10,1,INF209KB1XA2,10
ABSLFTRERN,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr.RE 1100 day-RPNDP,MF,04-OCT-2018,10,1,INF209KB1XB0,10
ABSLFTRERQ,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr.RE 1100 day-RPQDP,MF,04-OCT-2018,10,1,INF209KB1XC8,10
ABSLFTRHDG,Aditya Birla Sun Life Mutual Fund-Aditya Birla Sun Life FTP-DPG,MF,24-OCT-2018,10,1,INF209KB1YB8,10
